7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4230_環境構築,★検証環境申込実施決裁,初回,NWサービス,決裁文書.pdf,,,,,,,,,,,,,0,0,91087,91087,91087
5,Y:,4000_プロジェクト,4300_Step1商用開発,4330_ドキュメント,4330-03_利用規約,20160428_1_法務監査修正,,,,,,,,,,,,,,,0,0,0,44194,44194
4,Y:,5000_プロモーション,5200_展示会・講演,20151119_東海支店セミナー,【Com Forumパネル資料】（最終稿）1-05 Wearaburu S.pdf,,,,,,,,,,,,,,,,194725,194725,194725
6,Y:,0000_プロジェクト管理,0500_庶務,海外出張手配,20160217_アメリカ出張,old,旅費調整依頼書（外国出張）_160219.xls,,,,,,,,,,,,,,0,99328,99328,99328,99328
4,Y:,5000_プロモーション,5200_展示会・講演,20160226_サービス体験Day(四営主催社内向け),20160225_サービス体験Day講演資料.pptx,,,,,,,,,,,,,,,,0,7875397,7875397
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4270_EGGポータル適用検討,01.Connected Factory画面構成＆運用方法,不要コンテンツ削除,作成コンテンツの削除手順書_20151209.pdf,,,,,,,,,,,,,,1020172,1020172,1020172,1020172,1020172
4,Y:,7000_パートナー管理,プライマル,20160308,20160308_議事メモ.txt,,,,,,,,,,,,,,,,0,0,2616,2616,2616
5,Y:,5000_プロモーション,5200_展示会・講演,2015年度,20160315_IoT提案戦略勉強会(講師：VEC事務局長 村上氏),old,,,,,,,,,,,,,,,0,0,0,9643224,9643224
5,Y:,5000_プロモーション,5200_展示会・講演,20150603_堀越_VECクラウドセミナー,技開500262_VEC公開セミナー,技開500262頭紙.pdf,,,,,,,,,,,,,,,8018,8018,8018
3,Y:,4000_プロジェクト,xxxx_CTS,20160411_SIC<c> A&C仕様打合せ #1,,,,,,,,,,,,,,,,,0,0,387585,436091,436091
7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4220_ドキュメント,4222_Connected Factory,4221-01_サービス仕様書,20160212(V1.2),[0]20160204_JoyWatcherSuiteトライアルサービス.pptx,,,,,,,,,,,,,0,1351866,1351866,1351866,1351866
3,Y:,7000_パートナー管理,トライアルパック準備,提案書,,,,,,,,,,,,,,,,,3651671,3651671,3651671,3651671,3651671
7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4230_環境構築,EC申込,ThingWorx,社内業務委託書,業務委託書(兼)完了報告書_NS部利用分.pdf,,,,,,,,,,,,,141324,141324
6,Y:,3000_メンバ作業用,岡,後から整理,OLD岡個人用,20140728不正アクセス一次報告_Ｃｏｍ説明用,Thumbs.db,,,,,,,,,,,,,,13312,13312,13312,13312,13312
7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4270_EGGポータル適用検討,★申請書,特例申請書【メール本文への項目設定】,Connected Product,IoT推進室トライアルパック(Connected Product)申込フロー.pptx,,,,,,,,,,,,,475585,475585,475585,475585,475585
3,Y:,6000_案件管理,6500_集計情報,【全営業部】IoT-TP(CP)提案進捗リスト.pptx,,,,,,,,,,,,,,,,,0,172473
7,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4220_ドキュメント,4222_Connected Factory,4221-05_お客様向けドキュメント,01.提案書,05_mcafee_epo_direx連携.wmv,,,,,,,,,,,,,3509419,3509419,3509419,3509419,3509419
8,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4240_技術検証,mmCloud,検証結果・証跡,機能検証,証跡,5. ディスパッチャ【済】,,,,,,,,,,,,360949,360949,360949,360949,360949
6,Y:,4000_プロジェクト,4200_IoTトライアルパック開発,4240_技術検証,mmCloud,MSS対応,20160118_情報セキュリティ部ヒアリング,,,,,,,,,,,,,,1683,1683,1683,1683,1683
5,Y:,4000_プロジェクト,xxxx_CTS,幹部説明,20160401_CTS案件概要説明_有馬相談役,[資料1] SAP R&D連携に関する状況報告(20160401).pptx,,,,,,,,,,,,,,,0,0,136344
5,Y:,4000_プロジェクト,4300_Step1商用開発,4310_検討会,20160406_NS部大坪課長報告,IoTプラットフォーム_サービス仕様サマリ_20160404-0930.pptx,,,,,,,,,,,,,,,0,0,175598,175598,175598
3,Y:,4000_プロジェクト,4901_LPWA WG,20160427_キックオフ,,,,,,,,,,,,,,,,,0,0,0,1525568,1525403
6,Y:,4000_プロジェクト,4400_市場調査,アクセンチュア,10_US視察,写真,蜀咏悄 2016-03-02 10 36 09.jpg,,,,,,,,,,,,,,0,1300918,1300918,1300918,1300918
