46617,2018-02-18T09:29:42.191+09:00,73
10303,2018-02-18T09:29:43.112+09:00,24
46617,2018-02-18T09:29:43.253+09:00,63
10303,2018-02-18T09:29:43.269+09:00,55
46617,2018-02-18T09:30:12.461+09:00,73
10303,2018-02-18T09:30:13.633+09:00,24
46617,2018-02-18T09:30:13.773+09:00,63
10303,2018-02-18T09:30:13.789+09:00,55
71260,2018-02-18T09:59:44.592+09:00,73
71261,2018-02-18T09:59:44.623+09:00,24
71265,2018-02-18T10:00:06.824+09:00,73
71266,2018-02-18T10:00:06.855+09:00,24
71270,2018-02-18T10:00:23.080+09:00,73
71271,2018-02-18T10:00:23.123+09:00,24
71270,2018-02-18T10:00:23.248+09:00,63
71271,2018-02-18T10:00:23.264+09:00,55
71277,2018-02-18T10:00:26.498+09:00,73
71278,2018-02-18T10:00:26.533+09:00,24
71277,2018-02-18T10:00:26.664+09:00,63
71278,2018-02-18T10:00:26.693+09:00,55
71284,2018-02-18T10:16:35.173+09:00,0
71285,2018-02-18T10:16:35.211+09:00,50
71284,2018-02-18T10:16:36.252+09:00,1
71285,2018-02-18T10:16:36.289+09:00,51
71284,2018-02-18T10:16:37.325+09:00,2
71285,2018-02-18T10:16:37.356+09:00,52
71284,2018-02-18T10:16:38.388+09:00,3
71285,2018-02-18T10:16:38.423+09:00,53
71284,2018-02-18T10:16:39.454+09:00,4
71285,2018-02-18T10:16:39.483+09:00,54
71284,2018-02-18T10:16:40.512+09:00,5
71285,2018-02-18T10:16:40.547+09:00,55
71284,2018-02-18T10:16:41.577+09:00,6
71285,2018-02-18T10:16:41.617+09:00,56
71284,2018-02-18T10:16:42.656+09:00,7
71285,2018-02-18T10:16:42.689+09:00,57
71284,2018-02-18T10:16:43.724+09:00,8
71285,2018-02-18T10:16:43.759+09:00,58
71284,2018-02-18T10:16:44.789+09:00,9
71285,2018-02-18T10:16:44.817+09:00,59
71284,2018-02-18T10:16:45.838+09:00,10
71285,2018-02-18T10:16:45.879+09:00,60
71284,2018-02-18T10:16:46.911+09:00,11
71285,2018-02-18T10:16:46.964+09:00,61
71284,2018-02-18T10:16:47.994+09:00,12
71285,2018-02-18T10:16:48.027+09:00,62
71284,2018-02-18T10:16:49.058+09:00,13
71285,2018-02-18T10:16:49.090+09:00,63
71284,2018-02-18T10:16:50.128+09:00,14
71285,2018-02-18T10:16:50.162+09:00,64
71284,2018-02-18T10:16:51.201+09:00,15
71285,2018-02-18T10:16:51.239+09:00,65
71284,2018-02-18T10:16:52.265+09:00,16
71285,2018-02-18T10:16:52.292+09:00,66
71284,2018-02-18T10:16:53.312+09:00,17
71285,2018-02-18T10:16:53.346+09:00,67
71284,2018-02-18T10:16:54.380+09:00,18
71285,2018-02-18T10:16:54.410+09:00,68
71284,2018-02-18T10:16:55.438+09:00,19
71285,2018-02-18T10:16:55.476+09:00,69
71284,2018-02-18T10:16:56.507+09:00,20
71285,2018-02-18T10:16:56.558+09:00,70
71284,2018-02-18T10:16:57.584+09:00,21
71285,2018-02-18T10:16:57.619+09:00,71
71284,2018-02-18T10:16:58.652+09:00,22
71285,2018-02-18T10:16:58.676+09:00,72
71284,2018-02-18T10:16:59.696+09:00,23
71285,2018-02-18T10:16:59.737+09:00,73
71284,2018-02-18T10:17:00.778+09:00,24
71285,2018-02-18T10:17:00.804+09:00,74
71284,2018-02-18T10:17:01.825+09:00,25
71285,2018-02-18T10:17:01.857+09:00,75
71284,2018-02-18T10:17:02.881+09:00,26
71285,2018-02-18T10:17:02.912+09:00,76
71284,2018-02-18T10:17:03.939+09:00,27
71285,2018-02-18T10:17:03.963+09:00,77
71284,2018-02-18T10:17:04.994+09:00,28
71285,2018-02-18T10:17:05.027+09:00,78
71284,2018-02-18T10:17:06.061+09:00,29
71285,2018-02-18T10:17:06.093+09:00,79
71284,2018-02-18T10:17:07.128+09:00,30
71285,2018-02-18T10:17:07.154+09:00,80
71284,2018-02-18T10:17:08.182+09:00,31
71285,2018-02-18T10:17:08.236+09:00,81
71284,2018-02-18T10:17:09.263+09:00,32
71285,2018-02-18T10:17:09.300+09:00,82
71284,2018-02-18T10:17:10.340+09:00,33
71285,2018-02-18T10:17:10.366+09:00,83
71284,2018-02-18T10:17:11.388+09:00,34
71285,2018-02-18T10:17:11.415+09:00,84
71357,2018-02-18T10:23:56.026+09:00,0
71358,2018-02-18T10:23:56.071+09:00,50
71357,2018-02-18T10:23:57.100+09:00,1
71358,2018-02-18T10:23:57.129+09:00,51
71357,2018-02-18T10:23:58.156+09:00,2
71358,2018-02-18T10:23:58.185+09:00,52
71357,2018-02-18T10:23:59.208+09:00,3
71358,2018-02-18T10:23:59.236+09:00,53
71357,2018-02-18T10:24:00.258+09:00,4
71358,2018-02-18T10:24:00.288+09:00,54
71357,2018-02-18T10:24:01.317+09:00,5
71358,2018-02-18T10:24:01.346+09:00,55
71357,2018-02-18T10:24:02.377+09:00,6
71358,2018-02-18T10:24:02.404+09:00,56
71357,2018-02-18T10:24:03.428+09:00,7
71358,2018-02-18T10:24:03.460+09:00,57
71357,2018-02-18T10:24:04.484+09:00,8
71358,2018-02-18T10:24:04.508+09:00,58
71357,2018-02-18T10:24:05.534+09:00,9
71358,2018-02-18T10:24:05.562+09:00,59
71357,2018-02-18T10:24:06.585+09:00,10
71358,2018-02-18T10:24:06.611+09:00,60
71357,2018-02-18T10:24:07.641+09:00,11
71358,2018-02-18T10:24:07.673+09:00,61
71384,2018-02-18T10:26:25.620+09:00,0
71385,2018-02-18T10:26:25.648+09:00,50
71384,2018-02-18T10:26:26.677+09:00,1
71385,2018-02-18T10:26:26.714+09:00,51
71384,2018-02-18T10:26:27.748+09:00,2
71385,2018-02-18T10:26:27.781+09:00,52
71384,2018-02-18T10:26:28.820+09:00,3
71385,2018-02-18T10:26:28.849+09:00,53
71384,2018-02-18T10:26:29.884+09:00,4
71385,2018-02-18T10:26:29.919+09:00,54
71384,2018-02-18T10:26:30.955+09:00,5
71385,2018-02-18T10:26:30.987+09:00,55
71384,2018-02-18T10:26:32.018+09:00,6
71385,2018-02-18T10:26:32.047+09:00,56
71384,2018-02-18T10:26:33.080+09:00,7
71385,2018-02-18T10:26:33.114+09:00,57
71384,2018-02-18T10:26:34.147+09:00,8
71385,2018-02-18T10:26:34.179+09:00,58
71384,2018-02-18T10:26:35.209+09:00,9
71385,2018-02-18T10:26:35.247+09:00,59
71384,2018-02-18T10:26:36.278+09:00,10
71385,2018-02-18T10:26:36.311+09:00,60
71384,2018-02-18T10:26:37.338+09:00,11
71385,2018-02-18T10:26:37.371+09:00,61
71384,2018-02-18T10:26:38.393+09:00,12
71385,2018-02-18T10:26:38.421+09:00,62
71384,2018-02-18T10:26:39.446+09:00,13
71385,2018-02-18T10:26:39.480+09:00,63
71384,2018-02-18T10:26:40.507+09:00,14
71385,2018-02-18T10:26:40.541+09:00,64
71384,2018-02-18T10:26:41.577+09:00,15
71385,2018-02-18T10:26:41.607+09:00,65
71384,2018-02-18T10:26:42.635+09:00,16
71385,2018-02-18T10:26:42.670+09:00,66
